commit,date,change_type,parent_schema,property_context,old_value,new_value,actions_url
1304fbe7d1cc,2024-12-19,removed,AzureNetworkPeeringConnectionSettings,azureDirectoryId,32,,https://github.com/mongodb/openapi/actions/runs/12408696517
1304fbe7d1cc,2024-12-19,removed,AzureNetworkPeeringConnectionSettings,azureSubscriptionId,32,,https://github.com/mongodb/openapi/actions/runs/12408696517
1304fbe7d1cc,2024-12-19,removed,CloudAppUser,teamIds,24,,https://github.com/mongodb/openapi/actions/runs/12408696517
1304fbe7d1cc,2024-12-19,removed,CloudProviderAccessAzureServicePrincipal,atlasAzureAppId,32,,https://github.com/mongodb/openapi/actions/runs/12408696517
1304fbe7d1cc,2024-12-19,removed,CloudProviderAccessAzureServicePrincipal,servicePrincipalId,32,,https://github.com/mongodb/openapi/actions/runs/12408696517
1304fbe7d1cc,2024-12-19,removed,CloudProviderAccessAzureServicePrincipal,tenantId,32,,https://github.com/mongodb/openapi/actions/runs/12408696517
1304fbe7d1cc,2024-12-19,removed,CloudProviderAccessAzureServicePrincipalRequest,atlasAzureAppId,32,,https://github.com/mongodb/openapi/actions/runs/12408696517
1304fbe7d1cc,2024-12-19,removed,CloudProviderAccessAzureServicePrincipalRequest,servicePrincipalId,32,,https://github.com/mongodb/openapi/actions/runs/12408696517
1304fbe7d1cc,2024-12-19,removed,CloudProviderAccessAzureServicePrincipalRequest,tenantId,32,,https://github.com/mongodb/openapi/actions/runs/12408696517
1304fbe7d1cc,2024-12-19,removed,CloudProviderAccessAzureServicePrincipalRequestUpdate,atlasAzureAppId,32,,https://github.com/mongodb/openapi/actions/runs/12408696517
1304fbe7d1cc,2024-12-19,removed,CloudProviderAccessAzureServicePrincipalRequestUpdate,servicePrincipalId,32,,https://github.com/mongodb/openapi/actions/runs/12408696517
1304fbe7d1cc,2024-12-19,removed,CloudProviderAccessAzureServicePrincipalRequestUpdate,tenantId,32,,https://github.com/mongodb/openapi/actions/runs/12408696517
1304fbe7d1cc,2024-12-19,removed,DiskBackupSnapshotAzureExportBucketRequest,tenantId,36,,https://github.com/mongodb/openapi/actions/runs/12408696517
1304fbe7d1cc,2024-12-19,removed,DiskBackupSnapshotAzureExportBucketResponse,tenantId,36,,https://github.com/mongodb/openapi/actions/runs/12408696517
c146c33ab151,2025-02-06,removed,AWSCloudProviderContainer,vpcId,5,,https://github.com/mongodb/openapi/actions/runs/13186041500
c146c33ab151,2025-02-06,removed,AWSInterfaceEndpoint,interfaceEndpointId,24,,https://github.com/mongodb/openapi/actions/runs/13186041500
c146c33ab151,2025-02-06,removed,AWSKMSConfiguration,roleId,24,,https://github.com/mongodb/openapi/actions/runs/13186041500
c146c33ab151,2025-02-06,removed,AWSPrivateLinkConnection,id,24,,https://github.com/mongodb/openapi/actions/runs/13186041500
c146c33ab151,2025-02-06,removed,AWSPrivateLinkConnection,interfaceEndpoints,24,,https://github.com/mongodb/openapi/actions/runs/13186041500
c146c33ab151,2025-02-06,removed,AddOrRemoveUserFromTeam,id,24,,https://github.com/mongodb/openapi/actions/runs/13186041500
c146c33ab151,2025-02-06,removed,AddUserToTeam,id,24,,https://github.com/mongodb/openapi/actions/runs/13186041500
c146c33ab151,2025-02-06,removed,AdvancedClusterDescription,groupId,24,,https://github.com/mongodb/openapi/actions/runs/13186041500
c146c33ab151,2025-02-06,removed,AdvancedClusterDescription,id,24,,https://github.com/mongodb/openapi/actions/runs/13186041500
c146c33ab151,2025-02-06,removed,AdvancedClusterDescription,name,1,,https://github.com/mongodb/openapi/actions/runs/13186041500
c146c33ab151,2025-02-06,removed,AdvancedDiskBackupSnapshotSchedulePolicy,id,24,,https://github.com/mongodb/openapi/actions/runs/13186041500
c146c33ab151,2025-02-06,removed,AlertAudit,alertId,24,,https://github.com/mongodb/openapi/actions/runs/13186041500
c146c33ab151,2025-02-06,removed,AlertAudit,apiKeyId,24,,https://github.com/mongodb/openapi/actions/runs/13186041500
