commit,date,change_type,parent_schema,property_context,old_value,new_value,actions_url
d8691dde0ce8,2024-08-21,modified,ServiceAccountSecret,secret,^mdb_sa_sk_[0-9a-fA-F]{8}\b-[0-9a-fA-F]{4}\b-[0-9a-fA-F]{4}\b-[0-9a-fA-F]{4}\b-[0-9a-fA-F]{12}$,^mdb_sa_sk_[0-9a-zA-Z_-]{40}$,
725412bd438a,2024-09-12,modified,AdvancedClusterDescription,name,^[a-zA-Z0-9][a-zA-Z0-9-]*$,^([a-zA-Z0-9][a-zA-Z0-9-]*)?[a-zA-Z0-9]+$,https://github.com/mongodb/openapi/actions/runs/10826706809
725412bd438a,2024-09-12,modified,BackupOnlineArchive,clusterName,^[a-zA-Z0-9][a-zA-Z0-9-]*$,^([a-zA-Z0-9][a-zA-Z0-9-]*)?[a-zA-Z0-9]+$,https://github.com/mongodb/openapi/actions/runs/10826706809
725412bd438a,2024-09-12,modified,BackupOnlineArchiveCreate,clusterName,^[a-zA-Z0-9][a-zA-Z0-9-]*$,^([a-zA-Z0-9][a-zA-Z0-9-]*)?[a-zA-Z0-9]+$,https://github.com/mongodb/openapi/actions/runs/10826706809
725412bd438a,2024-09-12,modified,BackupRestoreJob,clusterName,^[a-zA-Z0-9][a-zA-Z0-9-]*$,^([a-zA-Z0-9][a-zA-Z0-9-]*)?[a-zA-Z0-9]+$,https://github.com/mongodb/openapi/actions/runs/10826706809
725412bd438a,2024-09-12,modified,BackupRestoreJobDelivery,targetClusterName,^[a-zA-Z0-9][a-zA-Z0-9-]*$,^([a-zA-Z0-9][a-zA-Z0-9-]*)?[a-zA-Z0-9]+$,https://github.com/mongodb/openapi/actions/runs/10826706809
725412bd438a,2024-09-12,modified,CloudCluster,name,^[a-zA-Z0-9][a-zA-Z0-9-]*$,^([a-zA-Z0-9][a-zA-Z0-9-]*)?[a-zA-Z0-9]+$,https://github.com/mongodb/openapi/actions/runs/10826706809
725412bd438a,2024-09-12,modified,ClusterAlertView,clusterName,^[a-zA-Z0-9][a-zA-Z0-9-]*$,^([a-zA-Z0-9][a-zA-Z0-9-]*)?[a-zA-Z0-9]+$,https://github.com/mongodb/openapi/actions/runs/10826706809
725412bd438a,2024-09-12,modified,ClusterDescription20240805,name,^[a-zA-Z0-9][a-zA-Z0-9-]*$,^([a-zA-Z0-9][a-zA-Z0-9-]*)?[a-zA-Z0-9]+$,https://github.com/mongodb/openapi/actions/runs/10826706809
725412bd438a,2024-09-12,modified,ClusterOutageSimulation,clusterName,^[a-zA-Z0-9][a-zA-Z0-9-]*$,^([a-zA-Z0-9][a-zA-Z0-9-]*)?[a-zA-Z0-9]+$,https://github.com/mongodb/openapi/actions/runs/10826706809
725412bd438a,2024-09-12,modified,DataMetricAlertView,clusterName,^[a-zA-Z0-9][a-zA-Z0-9-]*$,^([a-zA-Z0-9][a-zA-Z0-9-]*)?[a-zA-Z0-9]+$,https://github.com/mongodb/openapi/actions/runs/10826706809
725412bd438a,2024-09-12,modified,DiskBackupSnapshotRestoreJob,targetClusterName,^[a-zA-Z0-9][a-zA-Z0-9-]*$,^([a-zA-Z0-9][a-zA-Z0-9-]*)?[a-zA-Z0-9]+$,https://github.com/mongodb/openapi/actions/runs/10826706809
725412bd438a,2024-09-12,modified,DiskBackupSnapshotSchedule,clusterName,^[a-zA-Z0-9][a-zA-Z0-9-]*$,^([a-zA-Z0-9][a-zA-Z0-9-]*)?[a-zA-Z0-9]+$,https://github.com/mongodb/openapi/actions/runs/10826706809
725412bd438a,2024-09-12,modified,DiskBackupSnapshotSchedule20240805,clusterName,^[a-zA-Z0-9][a-zA-Z0-9-]*$,^([a-zA-Z0-9][a-zA-Z0-9-]*)?[a-zA-Z0-9]+$,https://github.com/mongodb/openapi/actions/runs/10826706809
725412bd438a,2024-09-12,modified,HostAlertViewForNdsGroup,clusterName,^[a-zA-Z0-9][a-zA-Z0-9-]*$,^([a-zA-Z0-9][a-zA-Z0-9-]*)?[a-zA-Z0-9]+$,https://github.com/mongodb/openapi/actions/runs/10826706809
725412bd438a,2024-09-12,modified,HostMetricAlert,clusterName,^[a-zA-Z0-9][a-zA-Z0-9-]*$,^([a-zA-Z0-9][a-zA-Z0-9-]*)?[a-zA-Z0-9]+$,https://github.com/mongodb/openapi/actions/runs/10826706809
725412bd438a,2024-09-12,modified,InvoiceLineItem,clusterName,^[a-zA-Z0-9][a-zA-Z0-9-]*$,^([a-zA-Z0-9][a-zA-Z0-9-]*)?[a-zA-Z0-9]+$,https://github.com/mongodb/openapi/actions/runs/10826706809
725412bd438a,2024-09-12,modified,LegacyAtlasCluster,name,^[a-zA-Z0-9][a-zA-Z0-9-]*$,^([a-zA-Z0-9][a-zA-Z0-9-]*)?[a-zA-Z0-9]+$,https://github.com/mongodb/openapi/actions/runs/10826706809
725412bd438a,2024-09-12,modified,LegacyAtlasTenantClusterUpgradeRequest,name,^[a-zA-Z0-9][a-zA-Z0-9-]*$,^([a-zA-Z0-9][a-zA-Z0-9-]*)?[a-zA-Z0-9]+$,https://github.com/mongodb/openapi/actions/runs/10826706809
725412bd438a,2024-09-12,modified,NumberMetricAlertView,clusterName,^[a-zA-Z0-9][a-zA-Z0-9-]*$,^([a-zA-Z0-9][a-zA-Z0-9-]*)?[a-zA-Z0-9]+$,https://github.com/mongodb/openapi/actions/runs/10826706809
725412bd438a,2024-09-12,modified,RawMetricAlertView,clusterName,^[a-zA-Z0-9][a-zA-Z0-9-]*$,^([a-zA-Z0-9][a-zA-Z0-9-]*)?[a-zA-Z0-9]+$,https://github.com/mongodb/openapi/actions/runs/10826706809
725412bd438a,2024-09-12,modified,ReplicaSetAlertViewForNdsGroup,clusterName,^[a-zA-Z0-9][a-zA-Z0-9-]*$,^([a-zA-Z0-9][a-zA-Z0-9-]*)?[a-zA-Z0-9]+$,https://github.com/mongodb/openapi/actions/runs/10826706809
725412bd438a,2024-09-12,modified,SampleDatasetStatus,clusterName,^[a-zA-Z0-9][a-zA-Z0-9-]*$,^([a-zA-Z0-9][a-zA-Z0-9-]*)?[a-zA-Z0-9]+$,https://github.com/mongodb/openapi/actions/runs/10826706809
725412bd438a,2024-09-12,modified,ServerlessBackupRestoreJob,targetClusterName,^[a-zA-Z0-9][a-zA-Z0-9-]*$,^([a-zA-Z0-9][a-zA-Z0-9-]*)?[a-zA-Z0-9]+$,https://github.com/mongodb/openapi/actions/runs/10826706809
725412bd438a,2024-09-12,modified,ServerlessBackupSnapshot,serverlessInstanceName,^[a-zA-Z0-9][a-zA-Z0-9-]*$,^([a-zA-Z0-9][a-zA-Z0-9-]*)?[a-zA-Z0-9]+$,https://github.com/mongodb/openapi/actions/runs/10826706809
725412bd438a,2024-09-12,modified,ServerlessInstanceDescription,name,^[a-zA-Z0-9][a-zA-Z0-9-]*$,^([a-zA-Z0-9][a-zA-Z0-9-]*)?[a-zA-Z0-9]+$,https://github.com/mongodb/openapi/actions/runs/10826706809
725412bd438a,2024-09-12,modified,ServerlessInstanceDescriptionCreate,name,^[a-zA-Z0-9][a-zA-Z0-9-]*$,^([a-zA-Z0-9][a-zA-Z0-9-]*)?[a-zA-Z0-9]+$,https://github.com/mongodb/openapi/actions/runs/10826706809
725412bd438a,2024-09-12,modified,TenantRestore,clusterName,^[a-zA-Z0-9][a-zA-Z0-9-]*$,^([a-zA-Z0-9][a-zA-Z0-9-]*)?[a-zA-Z0-9]+$,https://github.com/mongodb/openapi/actions/runs/10826706809
